C,-0.27895698,-0.06273554,-0.26121575,0.38666284,0.020455988,0.60165465,0.28404355,-0.060684383,0.29963982,-0.33090732,-0.064863406,0.17785372,-0.037319418,0.39511025,-0.61158097,-0.7770088,0.33355406,0.04498235,-0.094311856,-0.09164907,0.64829326,-0.11823661,-0.28936195,0.19042647,-0.13120066,0.42784357,0.07632431,0.24409026,-0.06965965,-0.43269065,-0.098693706,0.09110412,0.073210895,0.21086189,0.08141362,0.016087847,0.514919,0.28140497,0.18182462,0.061742894,-0.22908634,0.20539528,-0.39990103,-0.09825097,-0.10871529,0.19925119,0.114345506,0.43607134,-0.003803341,-0.14637136,0.62094307,-0.32536492,0.27724522,-0.45040852,0.37485966,0.23770833,0.27451143,-0.29809952,0.020752614,-0.43740252,-0.4936293,-0.057362285,0.5695641,-0.03621686
[,-1.4148289,0.44626635,-0.19752157,0.82239646,0.19583677,0.18382883,-1.1736356,1.9063787,0.84361273,-0.23696886,0.1947365,1.1534265,-0.30947813,1.3421204,-0.25382897,-0.35344735,1.2583348,-1.3914114,-0.6966914,0.7082519,-0.3372486,-0.018846558,0.37784576,-1.8218158,1.2776963,0.65620685,1.5812113,-0.80465937,0.7945899,-0.65058947,0.55667275,-0.98963565,-0.35457465,-0.73862654,-1.1402558,1.009926,0.23142144,0.9579305,-0.005379424,-0.06025715,-0.16600496,-1.6327912,-0.3937543,0.030289045,-0.40957695,0.20878948,-0.7278096,0.22850434,-0.3131804,0.21421236,0.17279069,-0.04439375,0.76065844,1.2692176,0.28999615,0.07602673,0.7037696,-0.4451099,-0.40937012,-0.5643395,0.8361528,0.016840337,0.14232711,-0.57682914
@,0.37365076,0.32094195,-0.8490707,0.077896774,0.32091033,0.7551441,-1.2924984,1.3176398,0.8071751,0.2140573,1.226525,-0.030046158,-0.86343586,1.8237493,-1.0756905,0.03399389,0.5413165,-1.8905458,-0.3064577,-0.29487076,-0.45441988,0.76988983,-0.012665815,-1.4729886,0.4895662,0.35583073,1.1959945,-0.3325158,0.20679216,-1.1188251,0.8416381,-1.2547122,-0.62548804,-0.6581263,-0.13040672,0.3811385,0.1952405,0.3212561,-0.36261812,-0.27886906,-0.2036228,0.0067681167,-0.048632346,1.0695121,-1.5976017,-0.40213707,-0.47741297,-0.22257158,-0.56397116,0.0970522,0.6460018,-0.3733024,0.07048767,1.326071,0.78544974,1.1529928,1.7951307,-0.13143979,-0.7585111,-0.90496445,1.468266,-0.33750072,-0.36110216,0.44160756
H,-0.22403456,0.24600314,-1.2021426,0.20922653,0.32038718,1.2374694,-0.6326237,1.709377,0.48412094,0.82435524,1.040139,0.8151676,-0.36979645,1.5701768,-0.8346731,0.3908177,1.0513775,-1.5927657,-1.0348767,-0.9344458,-0.62624747,0.8124896,0.1662749,-1.2978511,0.749494,0.06403196,1.3086694,-0.12141451,1.2122053,-1.0616379,0.5327611,-0.59605855,0.59384316,-0.7739513,-0.18725556,0.28884435,0.61364496,0.62787837,-0.53662646,0.44588432,-0.104594134,-0.82394594,-0.20640741,0.3291925,-1.1344792,0.002391749,0.18187831,0.33137396,0.4394392,-0.099752456,0.62113416,1.2361715,1.1788694,1.5748147,1.0391912,0.66046584,1.5441921,-0.11047648,-0.44020963,-0.9622261,0.68222374,-0.19473639,-0.55301857,0.691644
],0.3075761,0.42182267,-1.2911713,0.5651177,0.3602473,0.8932812,-0.99682146,2.0551438,0.454133,0.8518819,0.22806843,1.0085577,0.22842018,1.1372164,-0.6572936,-0.8222507,0.8851782,-0.9013669,-1.4277403,0.013271858,0.15170857,0.27016246,0.40047807,-0.8997278,0.448992,0.6799195,0.9506986,-1.6396946,0.23837504,-0.6703141,-0.3248863,-0.15023753,-0.3724291,-0.82027245,0.7791393,0.9740847,-0.088359535,0.391468,0.0028791276,0.20971127,-0.15143086,0.04552703,-0.90947485,0.90423805,-0.7093906,-0.628188,-0.69900435,-0.34753934,-0.1571736,0.068601236,0.5486386,0.071163945,0.41959074,0.680073,0.04964412,0.46952686,1.3028677,0.680743,-0.51848537,-0.014413382,0.9336595,0.6849834,-0.2866631,0.6967495
(,0.3777285,0.7300132,-0.55093384,-0.35561934,-0.44611552,-0.15036571,-0.3868794,-0.19611089,0.06608699,0.22666176,-0.2428649,-0.1264441,-0.5657304,0.40799645,-0.8845113,0.19422342,0.40029967,-1.0899942,-0.41970712,-0.15605102,-0.2483921,-0.13952471,-0.29243553,-0.542148,-0.04741441,0.075980455,0.3757164,0.4764953,0.5155713,-0.24788646,-0.34186897,-0.28312483,-0.12161,0.10381058,-0.18537557,0.2766072,0.48382378,0.4147971,-0.16239443,0.28212142,-0.1428297,-0.3603382,-0.27664748,0.27728382,-0.5345118,0.03634765,-0.40776926,0.03701394,0.74217993,0.51588076,0.9977479,-0.4071655,0.05917475,0.6186695,0.37663797,0.8127316,0.45049793,-0.33811364,-0.8179257,0.3838396,-0.30228478,0.25821334,-0.004223913,-0.037336808
),0.23486793,-0.47471538,-0.38219073,0.7409263,-0.07711511,0.6126849,-0.6948847,0.34961802,0.39219475,-0.06502696,-0.063436694,0.12894045,0.3295033,0.3228958,-0.35382494,-0.24212576,0.41520134,-0.6079083,0.18224138,0.022595445,-0.07739551,-0.20505819,-0.41703176,-0.03155699,0.27065027,-0.011133644,0.00016219512,-0.31806928,0.04530136,-0.8782746,-0.45396265,-0.36419943,0.031822216,-0.25119492,0.3970326,0.28058067,0.03845816,-0.18061984,-0.1452944,0.47052187,0.3125454,-0.31412658,0.6384831,0.093783945,-0.1586264,-0.0063665803,-0.34108138,0.79046077,-0.08806116,0.45519385,0.6175335,-0.16946729,-0.097869925,0.045806706,0.18944432,0.17516714,0.48822534,-0.58005273,0.55350184,-0.32843703,0.464162,-0.038380086,0.46156743,0.34317496
N,-0.4811105,0.2533229,-0.18557534,0.55731577,0.3745186,0.16276462,0.7626284,-0.39010903,0.10817426,-0.33434808,0.1442209,0.0994464,-0.15930837,-0.06961273,-0.59088236,-0.9420198,0.33231544,0.5711226,0.26354066,-0.03665288,0.6669582,-0.4097965,0.08751834,0.27070224,-0.43511713,0.65621257,-0.40500945,0.29507154,-0.34221554,-0.2487392,-0.15010813,0.3183366,0.21746686,1.0206481,0.29333407,-0.36690873,0.33211493,0.24041891,-0.19507676,-0.6237665,-0.30284736,0.29176313,-0.45364195,0.24049069,-0.17897555,0.09302346,0.38721845,0.4561945,0.0028146503,-0.4577971,0.31100786,-0.46432304,-0.03149129,-0.48671305,0.30857384,0.24006778,-0.26976958,0.043516323,0.12336079,0.13051252,-0.1599411,-0.29368073,0.5136071,-0.259306
=,-0.37925062,0.008768635,-0.30948552,0.39157057,-0.54062027,-0.118608974,0.45135066,-1.1804764,0.08482527,0.45482874,-0.41124833,-0.3575041,0.061342403,-0.66495204,-0.18485713,0.4387919,0.32460216,0.62549317,0.28439075,-0.13469142,0.7379645,-0.07342565,0.10182977,0.44159335,-0.038145084,0.2833359,0.0042853937,0.3488575,-0.4770737,-0.19623855,0.035853326,0.66854304,-0.086424194,0.8987276,-0.295436,-0.16032386,-0.054013178,0.12417232,0.35457358,-0.26104856,-0.029665545,0.57208484,-0.4711566,0.21815091,0.47397897,-0.13387156,0.9197915,0.39406154,-0.25899038,0.22578365,-0.0059343227,-0.16463815,0.06949652,-0.46794748,-0.10142414,-0.12575762,-0.5318045,-0.55507976,0.40557706,0.14563976,-0.6735972,-0.28443417,0.32230732,-0.12369996
O,0.22435082,0.6966588,-0.7134652,0.5882764,-0.36285406,0.12602217,-0.95756423,0.4746376,0.06367315,0.10603487,0.25249732,0.1987139,0.49120018,0.072597265,-0.1240046,-0.30101404,0.48733526,-0.7999846,0.13389003,0.32403678,-0.04645583,-0.13897169,-0.35973796,-0.44249308,0.14755926,0.39360246,0.30352908,-0.40797147,0.77354264,-0.18402897,-1.037853,-0.057058148,-0.24664506,-0.10618047,-0.4804236,0.5806318,-0.45328674,0.68033075,-0.42225254,-0.36087522,-0.20725769,-1.0734282,-0.2732253,0.16556883,-0.32418275,-0.6650028,0.078149036,-0.02877492,0.3350652,0.30007264,-0.1643293,0.11317949,-0.035509743,0.6146945,0.34538078,0.58997464,0.31517163,-0.08691321,-0.3542605,0.31953126,0.64844644,-0.2745227,0.0045662527,0.23242265
